Data;Hora;Temperatura
01/01/2018;0;21.1
01/01/2018;12;22.1
01/01/2018;18;29.8
02/01/2018;0;22.6
02/01/2018;12;22.4
02/01/2018;18;24.6
03/01/2018;0;20.7
03/01/2018;12;22.6
03/01/2018;18;28.4
04/01/2018;0;19.4
04/01/2018;12;21.4
04/01/2018;18;28
05/01/2018;0;20
05/01/2018;12;22.6
05/01/2018;18;29.6
06/01/2018;0;20
06/01/2018;12;24.6
06/01/2018;18;27
07/01/2018;0;18.2
07/01/2018;12;18.4
07/01/2018;18;19.9
08/01/2018;0;17
08/01/2018;12;16.3
08/01/2018;18;19
09/01/2018;0;16.7
09/01/2018;12;18.2
09/01/2018;18;19.3
10/01/2018;0;18.6
10/01/2018;12;19.4
10/01/2018;18;21.2
11/01/2018;0;19.4
11/01/2018;12;19.8
11/01/2018;18;23.2
12/01/2018;0;20.4
12/01/2018;12;20.6
12/01/2018;18;20.4
13/01/2018;0;20.8
13/01/2018;12;21.7
13/01/2018;18;26.1
14/01/2018;0;19.5
14/01/2018;12;21.4
14/01/2018;18;26.9
15/01/2018;0;20.5
15/01/2018;12;22
15/01/2018;18;27.6
16/01/2018;0;21.4
16/01/2018;12;22.2
16/01/2018;18;27.2
17/01/2018;0;20.4
17/01/2018;12;20.6
17/01/2018;18;25.9
18/01/2018;0;20.3
18/01/2018;12;21.1
18/01/2018;18;27.2
19/01/2018;0;24.7
19/01/2018;12;21.7
19/01/2018;18;22.3
20/01/2018;0;18.6
20/01/2018;12;18.9
20/01/2018;18;22.5
21/01/2018;0;18.9
21/01/2018;12;20.6
21/01/2018;18;27.7
22/01/2018;0;18.8
22/01/2018;12;22.5
22/01/2018;18;29.3
23/01/2018;0;21.9
23/01/2018;12;23.7
23/01/2018;18;29.2
24/01/2018;0;22.9
24/01/2018;12;23
24/01/2018;18;30.3
25/01/2018;0;21.7
25/01/2018;12;21.8
25/01/2018;18;24.5
26/01/2018;0;19.3
26/01/2018;12;19.1
26/01/2018;18;18.9
27/01/2018;0;17.4
27/01/2018;12;18.4
27/01/2018;18;21.2
28/01/2018;0;17.4
28/01/2018;12;20.2
28/01/2018;18;27.2
29/01/2018;0;22.4
29/01/2018;12;20.4
29/01/2018;18;26.1
30/01/2018;0;17.5
30/01/2018;12;17.6
30/01/2018;18;22.3
31/01/2018;0;18
31/01/2018;12;19.4
31/01/2018;18;25.8
01/02/2018;0;18.2
01/02/2018;12;18.4
01/02/2018;18;24.6
02/02/2018;0;18.4
02/02/2018;12;18.9
02/02/2018;18;26.6
03/02/2018;0;19.8
03/02/2018;12;19.1
03/02/2018;18;26.1
04/02/2018;0;18.6
04/02/2018;12;18
04/02/2018;18;22.9
05/02/2018;0;17.5
05/02/2018;12;17.2
05/02/2018;18;24.1
06/02/2018;0;17.7
06/02/2018;12;19.1
06/02/2018;18;26.3
07/02/2018;0;19.2
07/02/2018;12;19.8
07/02/2018;18;27.1
08/02/2018;0;19.7
08/02/2018;12;19.4
08/02/2018;18;28.3
09/02/2018;0;22.4
09/02/2018;12;23.7
09/02/2018;18;29.9
10/02/2018;0;23.3
10/02/2018;12;24.9
10/02/2018;18;26.5
11/02/2018;0;23.7
11/02/2018;12;21.6
11/02/2018;18;24.4
12/02/2018;0;22.7
12/02/2018;12;21.4
12/02/2018;18;20.2
13/02/2018;0;15.2
13/02/2018;12;16.3
13/02/2018;18;17.8
14/02/2018;0;15
14/02/2018;12;16.4
14/02/2018;18;17.4
15/02/2018;0;15.2
15/02/2018;12;17.8
15/02/2018;18;19.8
16/02/2018;0;17.1
16/02/2018;12;17.7
16/02/2018;18;19.8
17/02/2018;0;16.9
17/02/2018;12;17.4
17/02/2018;18;23
18/02/2018;0;18.2
18/02/2018;12;19.8
18/02/2018;18;23.6
19/02/2018;0;19.2
19/02/2018;12;20.8
19/02/2018;18;23.7
20/02/2018;0;20.3
20/02/2018;12;19
20/02/2018;18;25.8
21/02/2018;0;21.3
21/02/2018;12;21.8
21/02/2018;18;24.6
22/02/2018;0;21.2
22/02/2018;12;19.3
22/02/2018;18;26.7
23/02/2018;0;20.3
23/02/2018;12;20.2
23/02/2018;18;24.9
24/02/2018;0;18.2
24/02/2018;12;18.5
24/02/2018;18;24.9
25/02/2018;0;18.7
25/02/2018;12;19.6
25/02/2018;18;24.8
26/02/2018;0;18.6
26/02/2018;12;19.2
26/02/2018;18;27.7
27/02/2018;0;20
27/02/2018;12;18.5
27/02/2018;18;25.6
28/02/2018;0;20.2
28/02/2018;12;21.8
28/02/2018;18;27.4
01/03/2018;0;20.6
01/03/2018;12;21.2
01/03/2018;18;29
02/03/2018;0;22.2
02/03/2018;12;21.2
02/03/2018;18;25.8
03/03/2018;0;21.3
03/03/2018;12;20.6
03/03/2018;18;29.1
04/03/2018;0;20
04/03/2018;12;20.4
04/03/2018;18;24.5
05/03/2018;0;21.3
05/03/2018;12;21.7
05/03/2018;18;28.4
06/03/2018;0;22.9
06/03/2018;12;22.9
06/03/2018;18;25.6
07/03/2018;0;20.2
07/03/2018;12;19
07/03/2018;18;23.9
08/03/2018;0;18.5
08/03/2018;12;17.7
08/03/2018;18;22.3
09/03/2018;0;18
09/03/2018;12;19.6
09/03/2018;18;25.8
10/03/2018;0;20
10/03/2018;12;20.1
10/03/2018;18;27.5
11/03/2018;0;18.7
11/03/2018;12;20.5
11/03/2018;18;29.6
12/03/2018;0;24.8
12/03/2018;12;23.5
12/03/2018;18;29.8
13/03/2018;0;20.8
13/03/2018;12;19.8
13/03/2018;18;30.1
14/03/2018;0;23.7
14/03/2018;12;23.6
14/03/2018;18;21.4
15/03/2018;0;19.6
15/03/2018;12;22.3
15/03/2018;18;28.3
16/03/2018;0;19.6
16/03/2018;12;19
16/03/2018;18;28.1
17/03/2018;0;21.3
17/03/2018;12;21.3
17/03/2018;18;27.6
18/03/2018;0;21.9
18/03/2018;12;21.9
18/03/2018;18;30.2
19/03/2018;0;22.9
19/03/2018;12;24.6
19/03/2018;18;27
20/03/2018;0;24.6
20/03/2018;12;20.4
20/03/2018;18;27.4
21/03/2018;0;20.2
21/03/2018;12;19.4
21/03/2018;18;20.5
22/03/2018;0;18.1
22/03/2018;12;17
22/03/2018;18;20.4
23/03/2018;0;18.2
23/03/2018;12;19.7
23/03/2018;18;27
24/03/2018;0;20.8
24/03/2018;12;21.6
24/03/2018;18;29
25/03/2018;0;22.7
25/03/2018;12;23.4
25/03/2018;18;21.3
26/03/2018;0;20.2
26/03/2018;12;16.6
26/03/2018;18;18
27/03/2018;0;16.5
27/03/2018;12;18.1
27/03/2018;18;22.5
28/03/2018;0;20.2
28/03/2018;12;19.6
28/03/2018;18;27.1
29/03/2018;0;19.9
29/03/2018;12;19.9
29/03/2018;18;24.3
30/03/2018;0;19.5
30/03/2018;12;19.9
30/03/2018;18;26.8
31/03/2018;0;19.9
31/03/2018;12;18.8
31/03/2018;18;23.3
01/04/2018;0;20.8
01/04/2018;12;21.5
01/04/2018;18;24.7
02/04/2018;0;21.9
02/04/2018;12;20.4
02/04/2018;18;25
03/04/2018;0;21.5
03/04/2018;12;18.7
03/04/2018;18;26.6
04/04/2018;0;18.7
04/04/2018;12;20
04/04/2018;18;26.2
05/04/2018;0;19.1
05/04/2018;12;19.5
05/04/2018;18;26.9
06/04/2018;0;18.4
06/04/2018;12;17.8
06/04/2018;18;24.8
07/04/2018;0;18.5
07/04/2018;12;18.8
07/04/2018;18;24.9
08/04/2018;0;19.2
