Data;Hora;Temperatura
01/01/2018;0;24
01/01/2018;12;27.6
01/01/2018;18;31.3
02/01/2018;0;27
02/01/2018;12;28
02/01/2018;18;33.7
03/01/2018;0;30.1
03/01/2018;12;25.7
03/01/2018;18;28.6
04/01/2018;0;26
04/01/2018;12;26
04/01/2018;18;29.2
05/01/2018;0;24.5
05/01/2018;12;26.7
05/01/2018;18;29.1
06/01/2018;0;26
06/01/2018;12;25.5
06/01/2018;18;30.3
07/01/2018;0;25.6
07/01/2018;12;23.5
07/01/2018;18;22
08/01/2018;0;21.7
08/01/2018;12;24.4
08/01/2018;18;23.6
09/01/2018;0;22.8
09/01/2018;12;22.8
09/01/2018;18;24.6
10/01/2018;0;23
10/01/2018;12;24.4
10/01/2018;18;26.2
11/01/2018;0;23.8
11/01/2018;12;24.4
11/01/2018;18;25.4
12/01/2018;0;23.6
12/01/2018;12;26.4
12/01/2018;18;31.4
13/01/2018;0;24.4
13/01/2018;12;24
13/01/2018;18;32.8
14/01/2018;0;25.6
14/01/2018;12;29.6
14/01/2018;18;34
15/01/2018;0;29.8
15/01/2018;12;28.5
15/01/2018;18;34.7
16/01/2018;0;26
16/01/2018;12;27.3
16/01/2018;18;30
17/01/2018;0;25.4
17/01/2018;12;24.1
17/01/2018;18;28.5
18/01/2018;0;24.5
18/01/2018;12;26.8
18/01/2018;18;31.8
19/01/2018;0;25
19/01/2018;12;25.8
19/01/2018;18;28.1
20/01/2018;0;26.9
20/01/2018;12;23.6
20/01/2018;18;26.1
21/01/2018;0;24.3
21/01/2018;12;23
21/01/2018;18;29.1
22/01/2018;0;26.3
22/01/2018;12;24.6
22/01/2018;18;32
23/01/2018;0;24.6
23/01/2018;12;28.2
23/01/2018;18;31.6
24/01/2018;0;26.6
24/01/2018;12;28.6
24/01/2018;18;32
25/01/2018;0;24.6
25/01/2018;12;25.6
25/01/2018;18;25.6
26/01/2018;0;24.2
26/01/2018;12;21.8
26/01/2018;18;21.6
27/01/2018;0;21
27/01/2018;12;21.6
27/01/2018;18;25
28/01/2018;0;22.8
28/01/2018;12;25
28/01/2018;18;28.8
29/01/2018;0;27.3
29/01/2018;12;25.5
29/01/2018;18;23.7
30/01/2018;0;22.6
30/01/2018;12;22.9
30/01/2018;18;27.3
31/01/2018;0;25.7
31/01/2018;12;25.6
31/01/2018;18;28.2
01/02/2018;0;21.6
01/02/2018;12;23.5
01/02/2018;18;26.7
02/02/2018;0;23.8
02/02/2018;12;23.5
02/02/2018;18;27.5
03/02/2018;0;24.8
03/02/2018;12;24.6
03/02/2018;18;28.5
04/02/2018;0;25.1
04/02/2018;12;24.7
04/02/2018;18;26.7
05/02/2018;0;25.5
05/02/2018;12;24
05/02/2018;18;26.8
06/02/2018;0;24.6
06/02/2018;12;24.6
06/02/2018;18;26.6
07/02/2018;0;25
07/02/2018;12;24.8
07/02/2018;18;28.8
08/02/2018;0;25.6
08/02/2018;12;26.8
08/02/2018;18;29.6
09/02/2018;0;26.2
09/02/2018;12;28.6
09/02/2018;18;30.6
10/02/2018;0;26.6
10/02/2018;12;27.4
10/02/2018;18;30.2
11/02/2018;0;26.6
11/02/2018;12;25.4
11/02/2018;18;30.6
12/02/2018;0;26.6
12/02/2018;12;22.6
12/02/2018;18;24.7
13/02/2018;0;22
13/02/2018;12;20.3
13/02/2018;18;22.9
14/02/2018;0;22
14/02/2018;12;21
14/02/2018;18;25.1
15/02/2018;0;22
15/02/2018;12;21.7
15/02/2018;18;24.5
16/02/2018;0;22.3
16/02/2018;12;22.2
16/02/2018;18;24.3
17/02/2018;0;23
17/02/2018;12;23.3
17/02/2018;18;26
18/02/2018;0;24
18/02/2018;12;23.3
18/02/2018;18;27.7
19/02/2018;0;24.7
19/02/2018;12;25
19/02/2018;18;28.4
20/02/2018;0;25.4
20/02/2018;12;26.4
20/02/2018;18;31
21/02/2018;0;27
21/02/2018;12;28.4
21/02/2018;18;28.2
22/02/2018;0;25
22/02/2018;12;26
22/02/2018;18;28.2
23/02/2018;0;25.4
23/02/2018;12;24.4
23/02/2018;18;26.8
24/02/2018;0;24.6
24/02/2018;12;25.6
24/02/2018;18;27.2
25/02/2018;0;23.8
25/02/2018;12;24.2
25/02/2018;18;28.2
26/02/2018;0;24.6
26/02/2018;12;24.5
26/02/2018;18;29.7
27/02/2018;0;25
27/02/2018;12;25.5
27/02/2018;18;29.1
28/02/2018;0;25.5
28/02/2018;12;25.7
28/02/2018;18;29.7
01/03/2018;0;26
01/03/2018;12;26.3
01/03/2018;18;30
02/03/2018;0;26.1
02/03/2018;12;26.6
02/03/2018;18;29.8
03/03/2018;0;23.3
03/03/2018;12;27.3
03/03/2018;18;29.1
04/03/2018;0;27
04/03/2018;12;26.3
04/03/2018;18;26.7
05/03/2018;0;24.6
05/03/2018;12;25.7
05/03/2018;18;29.9
06/03/2018;0;25.1
06/03/2018;12;27
06/03/2018;18;26.3
07/03/2018;0;23.1
07/03/2018;12;24.4
07/03/2018;18;23.6
08/03/2018;0;21.8
08/03/2018;12;23.8
08/03/2018;18;24.8
09/03/2018;0;23.6
09/03/2018;12;25.6
09/03/2018;18;28
10/03/2018;0;25
10/03/2018;12;23.6
10/03/2018;18;29.2
11/03/2018;0;26
11/03/2018;12;26.6
11/03/2018;18;32.2
12/03/2018;0;27.8
12/03/2018;12;27
12/03/2018;18;28.3
13/03/2018;0;25
13/03/2018;12;23.7
13/03/2018;18;28
14/03/2018;0;26
14/03/2018;12;27.8
14/03/2018;18;23.6
15/03/2018;0;23.4
15/03/2018;12;25.3
15/03/2018;18;31.1
16/03/2018;0;27
16/03/2018;12;25.7
16/03/2018;18;26.7
17/03/2018;0;26
17/03/2018;12;23.5
17/03/2018;18;28
18/03/2018;0;26
18/03/2018;12;26.7
18/03/2018;18;29.8
19/03/2018;0;27.6
19/03/2018;12;27.6
19/03/2018;18;33.7
20/03/2018;0;25.6
20/03/2018;12;23.2
20/03/2018;18;26.4
21/03/2018;0;22.6
21/03/2018;12;22.6
21/03/2018;18;22.6
22/03/2018;0;21.4
22/03/2018;12;21
22/03/2018;18;26
23/03/2018;0;24
23/03/2018;12;23.2
23/03/2018;18;28.6
24/03/2018;0;25.4
24/03/2018;12;26.4
24/03/2018;18;30.6
25/03/2018;0;27.2
25/03/2018;12;26.5
25/03/2018;18;30.7
26/03/2018;0;27
26/03/2018;12;20.8
26/03/2018;18;21.7
27/03/2018;0;21.3
27/03/2018;12;21.7
27/03/2018;18;25.3
28/03/2018;0;24
28/03/2018;12;25.5
28/03/2018;18;27.8
29/03/2018;0;24.3
29/03/2018;12;25.1
29/03/2018;18;27
30/03/2018;0;24.6
30/03/2018;12;24.9
30/03/2018;18;28.5
31/03/2018;0;24.5
31/03/2018;12;24.1
31/03/2018;18;27.8
01/04/2018;0;26.3
01/04/2018;12;25.8
01/04/2018;18;31
02/04/2018;0;26.8
02/04/2018;12;27.4
02/04/2018;18;31.8
03/04/2018;0;28.6
03/04/2018;12;25
03/04/2018;18;27.4
04/04/2018;0;24.8
04/04/2018;12;24
04/04/2018;18;27
05/04/2018;0;24.4
05/04/2018;12;24.2
05/04/2018;18;25.6
06/04/2018;0;23.6
06/04/2018;12;23
06/04/2018;18;26.4
07/04/2018;0;23
07/04/2018;12;24.4
07/04/2018;18;27
08/04/2018;0;24.6
08/04/2018;12;24.8
08/04/2018;18;28.6
09/04/2018;0;25
09/04/2018;12;25.1
09/04/2018;18;28.7
10/04/2018;0;24.7
10/04/2018;12;25
10/04/2018;18;28
11/04/2018;0;24.9
11/04/2018;12;25.3
11/04/2018;18;29.1
12/04/2018;0;24.7
12/04/2018;12;24.1
12/04/2018;18;29.3
13/04/2018;0;25
13/04/2018;12;23.7
13/04/2018;18;31.2
14/04/2018;0;25
14/04/2018;12;21.3
14/04/2018;18;23
15/04/2018;0;22.1
15/04/2018;12;20.7
15/04/2018;18;23.6
16/04/2018;0;22
16/04/2018;12;20.5
16/04/2018;18;23.2
17/04/2018;0;21
17/04/2018;12;20.8
17/04/2018;18;23.6
18/04/2018;0;21.6
18/04/2018;12;20.8
18/04/2018;18;26.6
19/04/2018;0;22.6
19/04/2018;12;22.4
19/04/2018;18;27.6
20/04/2018;0;22.8
20/04/2018;12;21.4
20/04/2018;18;28.8
21/04/2018;0;23.2
21/04/2018;12;22.2
21/04/2018;18;29
22/04/2018;0;23.2
22/04/2018;12;21.8
22/04/2018;18;27.6
23/04/2018;0;24
23/04/2018;12;24.1
23/04/2018;18;28.4
24/04/2018;0;23.5
24/04/2018;12;24.3
24/04/2018;18;28.1
25/04/2018;0;24.2
25/04/2018;12;23.3
25/04/2018;18;28.7
26/04/2018;0;23.7
26/04/2018;12;23
26/04/2018;18;27.9
27/04/2018;0;25.1
27/04/2018;12;24.5
27/04/2018;18;29.1
28/04/2018;0;24
28/04/2018;12;25.3
28/04/2018;18;28.8
29/04/2018;0;24
29/04/2018;12;24.7
29/04/2018;18;28.5
30/04/2018;0;24.1
30/04/2018;12;26.2
30/04/2018;18;31.2
01/05/2018;0;25.8
01/05/2018;12;24.4
01/05/2018;18;27.8
02/05/2018;0;24.6
02/05/2018;12;23.8
02/05/2018;18;24.6
03/05/2018;0;23
03/05/2018;12;23.6
03/05/2018;18;27.2
04/05/2018;0;24.6
04/05/2018;12;22.8
04/05/2018;18;30.4
05/05/2018;0;24.8
05/05/2018;12;24.4
05/05/2018;18;27.6
06/05/2018;0;24.6
06/05/2018;12;23.4
06/05/2018;18;27.2
07/05/2018;0;23.2
07/05/2018;12;23
07/05/2018;18;22.7
08/05/2018;0;22
08/05/2018;12;20.8
08/05/2018;18;23.1
09/05/2018;0;22.1
09/05/2018;12;21
09/05/2018;18;24.4
10/05/2018;0;22
10/05/2018;12;21.6
10/05/2018;18;27.4
11/05/2018;0;23.1
11/05/2018;12;21.6
11/05/2018;18;29.1
12/05/2018;0;26
12/05/2018;12;24.3
12/05/2018;18;26.7
13/05/2018;0;21.3
13/05/2018;12;19.7
13/05/2018;18;24.3
14/05/2018;0;21.5
14/05/2018;12;20.8
14/05/2018;18;25.8
15/05/2018;0;23
15/05/2018;12;22.2
15/05/2018;18;26.4
16/05/2018;0;23.6
16/05/2018;12;22.6
16/05/2018;18;24.4
17/05/2018;0;22.6
17/05/2018;12;19.6
17/05/2018;18;20.2
18/05/2018;0;19.4
18/05/2018;12;22.4
18/05/2018;18;25.8
19/05/2018;0;24
19/05/2018;12;20
19/05/2018;18;26.2
20/05/2018;0;20.6
20/05/2018;12;17.2
20/05/2018;18;24
21/05/2018;0;18.8
21/05/2018;12;16
21/05/2018;18;22.6
22/05/2018;0;17.3
22/05/2018;12;16.1
22/05/2018;18;22.4
23/05/2018;0;17
23/05/2018;12;18.3
23/05/2018;18;21.9
24/05/2018;0;18.9
24/05/2018;12;18.3
24/05/2018;18;21
25/05/2018;0;18.5
25/05/2018;12;17.7
25/05/2018;18;19.3
26/05/2018;0;18.8
26/05/2018;12;18.6
26/05/2018;18;22.5
27/05/2018;0;19
27/05/2018;12;20.8
27/05/2018;18;25.1
28/05/2018;0;21.7
28/05/2018;12;19
28/05/2018;18;23.8
29/05/2018;0;20.4
29/05/2018;12;19.4
29/05/2018;18;24.2
30/05/2018;0;19.8
30/05/2018;12;19.4
30/05/2018;18;25.6
31/05/2018;0;20.8
31/05/2018;12;18
31/05/2018;18;25
01/06/2018;0;20.2
